Start time,Duration,User,Location,Call type,Direction,Calling number,Called number,Calling display,Called display,Correlation ID,Related reason,User type,Answered,Answer indicator,Call outcome,Call outcome reason,Call Recording Result,Call Recording Trigger,_day
2026-08-26 09:56:11,42,Sam Chen,London,SIP_ENTERPRISE,ORIGINATING,+13125551002,+13125551003,Sam Chen,Taylor Brooks,story-0,,User,True,Yes,Success,Success,,,2026-08-26
2026-08-26 09:56:13,42,Taylor Brooks,Singapore,SIP_ENTERPRISE,TERMINATING,+13125551002,+13125551003,Sam Chen,Taylor Brooks,story-0,,User,True,Yes,Success,Success,,,2026-08-26
2026-08-14 17:45:23,179,Sam Chen,London,SIP_ENTERPRISE,ORIGINATING,+13125551002,+13125551004,Sam Chen,Casey Rivera,story-2,,User,True,Yes,Success,Success,,,2026-08-14
2026-08-14 17:45:25,179,Casey Rivera,Singapore,SIP_ENTERPRISE,TERMINATING,+13125551002,+13125551004,Sam Chen,Casey Rivera,story-2,,User,True,Yes,Success,Success,,,2026-08-14
2026-09-04 13:06:17,737,Morgan Quinn,Singapore,SIP_ENTERPRISE,ORIGINATING,+13125551005,+13125551009,Morgan Quinn,Marcus Webb,story-4,,User,True,Yes,Success,Success,,,2026-09-04
2026-09-04 13:06:19,737,Marcus Webb,Singapore,SIP_ENTERPRISE,TERMINATING,+13125551005,+13125551009,Morgan Quinn,Marcus Webb,story-4,,User,True,Yes,Success,Success,,,2026-09-04
2026-09-02 21:15:09,828,Alex Morgan,Singapore,SIP_ENTERPRISE,ORIGINATING,+13125551000,+13125551007,Alex Morgan,Jamie Ortiz,story-6,,User,True,Yes,Success,Success,,,2026-09-02
2026-09-02 21:15:11,828,Jamie Ortiz,London,SIP_ENTERPRISE,TERMINATING,+13125551000,+13125551007,Alex Morgan,Jamie Ortiz,story-6,,User,True,Yes,Success,Success,,,2026-09-02
2026-08-18 05:13:31,523,Riley Park,London,SIP_ENTERPRISE,ORIGINATING,+13125551006,+13125551009,Riley Park,Marcus Webb,story-8,,User,True,Yes,Success,Success,,,2026-08-18
2026-08-18 05:13:33,523,Marcus Webb,Chicago,SIP_ENTERPRISE,TERMINATING,+13125551006,+13125551009,Riley Park,Marcus Webb,story-8,,User,True,Yes,Success,Success,,,2026-08-18
2026-09-05 12:35:33,481,Taylor Brooks,Dallas,SIP_ENTERPRISE,ORIGINATING,+13125551003,+13125551001,Taylor Brooks,Jordan Lee,story-10,,User,True,Yes,Success,Success,,,2026-09-05
2026-09-05 12:35:35,481,Jordan Lee,Chicago,SIP_ENTERPRISE,TERMINATING,+13125551003,+13125551001,Taylor Brooks,Jordan Lee,story-10,,User,True,Yes,Success,Success,,,2026-09-05
2026-08-09 04:10:13,610,Morgan Quinn,Dallas,SIP_ENTERPRISE,ORIGINATING,+13125551005,+13125551000,Morgan Quinn,Alex Morgan,story-12,,User,True,Yes,Success,Success,,,2026-08-09
2026-08-09 04:10:15,610,Alex Morgan,Singapore,SIP_ENTERPRISE,TERMINATING,+13125551005,+13125551000,Morgan Quinn,Alex Morgan,story-12,,User,True,Yes,Success,Success,,,2026-08-09
2026-08-25 00:37:13,102,Jordan Lee,Dallas,SIP_ENTERPRISE,ORIGINATING,+13125551001,+13125551005,Jordan Lee,Morgan Quinn,story-14,,User,True,Yes,Success,Success,,,2026-08-25
2026-08-25 00:37:15,102,Morgan Quinn,Singapore,SIP_ENTERPRISE,TERMINATING,+13125551001,+13125551005,Jordan Lee,Morgan Quinn,story-14,,User,True,Yes,Success,Success,,,2026-08-25
2026-08-09 19:23:40,0,Riley Park,London,SIP_INBOUND,TERMINATING,+155501050,+13125551006,+155501050,Riley Park,story-16,CallForwardNoAnswer,User,False,No,Success,NoAnswer,,,2026-08-09
2026-08-09 19:23:48,144,Riley Park,London,SIP_INBOUND,TERMINATING,+155501050,+13125551006,+155501050,Riley Park's voicemail,story-16,CallForwardNoAnswer,VoiceMailRetrieval,True,Yes-PostRedirection,Success,Normal,,,2026-08-09
2026-08-15 16:01:05,0,Sam Chen,Chicago,SIP_INBOUND,TERMINATING,+155501050,+13125551002,+155501050,Sam Chen,story-18,CallForwardNoAnswer,User,False,No,Success,NoAnswer,,,2026-08-15
2026-08-15 16:01:13,56,Sam Chen,Denver,SIP_INBOUND,TERMINATING,+155501050,+13125551002,+155501050,Sam Chen's voicemail,story-18,CallForwardNoAnswer,VoiceMailRetrieval,True,Yes-PostRedirection,Success,Normal,,,2026-08-15
2026-08-14 04:58:44,0,Casey Rivera,Singapore,SIP_INBOUND,TERMINATING,+155501067,+13125551004,+155501067,Casey Rivera,story-20,CallForwardNoAnswer,User,False,No,Success,NoAnswer,,,2026-08-14
2026-08-14 04:58:52,61,Casey Rivera,Chicago,SIP_INBOUND,TERMINATING,+155501067,+13125551004,+155501067,Casey Rivera's voicemail,story-20,CallForwardNoAnswer,VoiceMailRetrieval,True,Yes-PostRedirection,Success,Normal,,,2026-08-14
2026-09-04 11:31:59,0,Priya Nair,Denver,SIP_INBOUND,TERMINATING,+155501033,+13125551008,+155501033,Priya Nair,story-22,CallForwardNoAnswer,User,False,No,Success,NoAnswer,,,2026-09-04
2026-09-04 11:32:07,155,Priya Nair,Dallas,SIP_INBOUND,TERMINATING,+155501033,+13125551008,+155501033,Priya Nair's voicemail,story-22,CallForwardNoAnswer,VoiceMailRetrieval,True,Yes-PostRedirection,Success,Normal,,,2026-09-04
2026-08-22 20:07:13,0,Jamie Ortiz,Singapore,SIP_INBOUND,TERMINATING,+155501064,+13125551007,+155501064,Jamie Ortiz,story-24,CallForwardNoAnswer,User,False,No,Success,NoAnswer,,,2026-08-22
2026-08-22 20:07:21,26,Jamie Ortiz,Denver,SIP_INBOUND,TERMINATING,+155501064,+13125551007,+155501064,Jamie Ortiz's voicemail,story-24,CallForwardNoAnswer,VoiceMailRetrieval,True,Yes-PostRedirection,Success,Normal,,,2026-08-22
2026-09-01 18:18:49,0,Marcus Webb,Singapore,SIP_INBOUND,TERMINATING,+155501061,+13125551009,+155501061,Marcus Webb,story-26,CallForwardNoAnswer,User,False,No,Success,NoAnswer,,,2026-09-01
2026-09-01 18:18:57,86,Marcus Webb,Denver,SIP_INBOUND,TERMINATING,+155501061,+13125551009,+155501061,Marcus Webb's voicemail,story-26,CallForwardNoAnswer,VoiceMailRetrieval,True,Yes-PostRedirection,Success,Normal,,,2026-09-01
2026-08-22 18:55:33,45,Sales IVR,Denver,SIP_INBOUND,TERMINATING,+155501054,+13125552002,+155501054,Sales IVR,story-28,Deflection,AutomatedAttendantVideo,True,Yes,Success,Success,,,2026-08-22
2026-08-22 18:55:53,574,Taylor Brooks,Dallas,SIP_INBOUND,TERMINATING,+155501054,+13125553002,+155501054,Billing Queue,story-28,CallQueue,CallCenterPremium,True,Yes,Success,Success,,,2026-08-22
2026-08-18 10:06:33,38,Support IVR,Dallas,SIP_INBOUND,TERMINATING,+155501072,+13125552003,+155501072,Support IVR,story-30,Deflection,AutomatedAttendantVideo,True,Yes,Success,Success,,,2026-08-18
2026-08-18 10:06:53,292,Taylor Brooks,London,SIP_INBOUND,TERMINATING,+155501072,+13125553006,+155501072,Returns Desk,story-30,CallQueue,CallCenterPremium,True,Yes,Success,Success,,,2026-08-18
2026-08-30 11:50:41,17,HR Hotline AA,Denver,SIP_INBOUND,TERMINATING,+155501021,+13125552005,+155501021,HR Hotline AA,story-32,Deflection,AutomatedAttendantVideo,True,Yes,Success,Success,,,2026-08-30
2026-08-30 11:51:01,543,Alex Morgan,Singapore,SIP_INBOUND,TERMINATING,+155501021,+13125553005,+155501021,Technical Triage,story-32,CallQueue,CallCenterPremium,True,Yes,Success,Success,,,2026-08-30
2026-08-08 11:55:13,35,HR Hotline AA,Dallas,SIP_INBOUND,TERMINATING,+155501043,+13125552005,+155501043,HR Hotline AA,story-34,Deflection,AutomatedAttendantVideo,True,Yes,Success,Success,,,2026-08-08
2026-08-08 11:55:33,164,Morgan Quinn,Dallas,SIP_INBOUND,TERMINATING,+155501043,+13125553003,+155501043,VIP Queue,story-34,CallQueue,CallCenterPremium,True,Yes,Success,Success,,,2026-08-08
2026-09-05 13:01:30,27,HR Hotline AA,London,SIP_INBOUND,TERMINATING,+155501059,+13125552005,+155501059,HR Hotline AA,story-36,Deflection,AutomatedAttendantVideo,True,Yes,Success,Success,,,2026-09-05
2026-09-05 13:01:50,61,Jamie Ortiz,Chicago,SIP_INBOUND,TERMINATING,+155501059,+13125553001,+155501059,Support Queue East,story-36,CallQueue,CallCenterPremium,True,Yes,Success,Success,,,2026-09-05
2026-08-28 01:21:02,91,Jordan Lee,Dallas,SIP_INBOUND,TERMINATING,+155501070,+13125551001,+155501070,Jordan Lee,story-38,,User,True,Yes,Success,Success,,,2026-08-28
2026-08-28 01:22:32,171,Riley Park,Dallas,SIP_INBOUND,TERMINATING,+155501070,+13125551006,+155501070,Riley Park,story-38,ConsultativeTransfer,User,True,Yes,Success,Success,,,2026-08-28
2026-09-04 07:56:49,89,Morgan Quinn,London,SIP_INBOUND,TERMINATING,+155501071,+13125551005,+155501071,Morgan Quinn,story-40,,User,True,Yes,Success,Success,,,2026-09-04
2026-09-04 07:58:19,250,Jordan Lee,London,SIP_INBOUND,TERMINATING,+155501071,+13125551001,+155501071,Jordan Lee,story-40,ConsultativeTransfer,User,True,Yes,Success,Success,,,2026-09-04
2026-09-05 18:52:32,49,Jordan Lee,Chicago,SIP_INBOUND,TERMINATING,+155501030,+13125551001,+155501030,Jordan Lee,story-42,,User,True,Yes,Success,Success,,,2026-09-05
2026-09-05 18:54:02,291,Sam Chen,Singapore,SIP_INBOUND,TERMINATING,+155501030,+13125551002,+155501030,Sam Chen,story-42,ConsultativeTransfer,User,True,Yes,Success,Success,,,2026-09-05
2026-08-31 14:55:25,114,Jamie Ortiz,London,SIP_INBOUND,TERMINATING,+155501059,+13125551007,+155501059,Jamie Ortiz,story-44,,User,True,Yes,Success,Success,,,2026-08-31
2026-08-31 14:56:55,99,Sam Chen,Denver,SIP_INBOUND,TERMINATING,+155501059,+13125551002,+155501059,Sam Chen,story-44,ConsultativeTransfer,User,True,Yes,Success,Success,,,2026-08-31
2026-08-23 00:12:11,2161,Alex Morgan,Chicago,SIP_ENTERPRISE,TERMINATING,+13125551003,+13125551004,Taylor Brooks,Casey Rivera,rnd-0-7,CallForwardBusy,User,True,Yes-PostRedirection,Success,Success,,always,2026-08-23
2026-08-29 16:10:39,541,Priya Nair,London,SIP_ENTERPRISE,ORIGINATING,+13125551009,+13125551008,Marcus Webb,Priya Nair,rnd-1-7,ConsultativeTransfer,AutomatedAttendantVideo,False,Yes-PostRedirection,Refusal,TemporarilyUnavailable,,always,2026-08-29
2026-09-02 01:22:02,618,Marcus Webb,Chicago,SIP_NATIONAL,TERMINATING,+13125551009,+155509951,Marcus Webb,+155509951,rnd-2-7,CallQueue,AutomatedAttendantVideo,True,Yes,Success,Success,,always,2026-09-02
2026-08-11 22:19:54,1857,Jordan Lee,Singapore,SIP_ENTERPRISE,ORIGINATING,+13125551007,+13125551005,Jamie Ortiz,Morgan Quinn,rnd-3-7,CallForwardNoAnswer,CallCenterPremium,True,Yes-PostRedirection,Success,Success,,,2026-08-11
2026-08-31 00:40:38,1068,Taylor Brooks,Singapore,SIP_ENTERPRISE,ORIGINATING,+13125551007,+13125551002,Jamie Ortiz,Sam Chen,rnd-4-7,SimultaneousRingPersonal,CallCenterPremium,True,No,Success,Success,,always,2026-08-31
2026-08-26 19:20:22,506,Taylor Brooks,Denver,SIP_ENTERPRISE,ORIGINATING,+13125551005,+13125551002,Morgan Quinn,Sam Chen,rnd-5-7,,User,True,Yes-PostRedirection,Success,Success,,always,2026-08-26
2026-08-18 08:18:11,1772,Taylor Brooks,Dallas,SIP_ENTERPRISE,TERMINATING,+13125551005,+13125551006,Morgan Quinn,Riley Park,rnd-6-7,Deflection,User,True,Yes-PostRedirection,Success,Success,,always-pause-resume,2026-08-18
2026-08-19 15:42:02,1215,Morgan Quinn,Singapore,SIP_ENTERPRISE,TERMINATING,+13125551003,+13125551001,Taylor Brooks,Jordan Lee,rnd-7-7,CallForwardNoAnswer,User,True,Yes,Success,Success,,always-pause-resume,2026-08-19
2026-08-29 10:17:51,616,Casey Rivera,London,SIP_NATIONAL,ORIGINATING,+13125551004,+155509945,Casey Rivera,+155509945,rnd-8-7,ConsultativeTransfer,CallCenterPremium,True,Yes,Success,Success,,always-pause-resume,2026-08-29
2026-09-04 02:07:55,915,Casey Rivera,Chicago,SIP_INBOUND,TERMINATING,+155509963,+13125551004,+155509963,Casey Rivera,rnd-9-7,ConsultativeTransfer,User,False,Yes-PostRedirection,Refusal,TemporarilyUnavailable,,,2026-09-04
2026-08-13 09:23:47,211,Sam Chen,Denver,SIP_ENTERPRISE,TERMINATING,+13125551008,+13125551003,Priya Nair,Taylor Brooks,rnd-10-7,ConsultativeTransfer,User,True,No,Success,Success,,always,2026-08-13
2026-09-05 19:54:26,2262,Alex Morgan,Singapore,SIP_ENTERPRISE,TERMINATING,+13125551007,+13125551001,Jamie Ortiz,Jordan Lee,rnd-11-7,,AutomatedAttendantVideo,True,No,Success,Success,,,2026-09-05
2026-08-15 12:59:26,818,Taylor Brooks,Denver,SIP_ENTERPRISE,ORIGINATING,+13125551006,+13125551005,Riley Park,Morgan Quinn,rnd-12-7,Deflection,User,True,Yes-PostRedirection,Success,Success,,,2026-08-15
2026-09-02 06:36:41,1565,Alex Morgan,Chicago,SIP_ENTERPRISE,TERMINATING,+13125551003,+13125551005,Taylor Brooks,Morgan Quinn,rnd-13-7,ConsultativeTransfer,User,True,No,Success,Success,,always-pause-resume,2026-09-02
2026-08-06 02:41:43,1330,Morgan Quinn,Singapore,SIP_ENTERPRISE,TERMINATING,+13125551005,+13125551002,Morgan Quinn,Sam Chen,rnd-14-7,SimultaneousRingPersonal,User,True,No,Success,Success,,always-pause-resume,2026-08-06
2026-08-21 14:03:23,377,Priya Nair,Chicago,SIP_ENTERPRISE,TERMINATING,+13125551000,+13125551007,Alex Morgan,Jamie Ortiz,rnd-15-7,CallForwardNoAnswer,HuntGroup,True,Yes,Success,Success,,always,2026-08-21
2026-08-24 03:40:26,1600,Sam Chen,Singapore,SIP_ENTERPRISE,TERMINATING,+13125551004,+13125551002,Casey Rivera,Sam Chen,rnd-16-7,ConsultativeTransfer,AutomatedAttendantVideo,True,Yes-PostRedirection,Success,Success,,,2026-08-24
2026-08-31 21:11:36,353,Marcus Webb,Dallas,SIP_NATIONAL,ORIGINATING,+13125551009,+155509967,Marcus Webb,+155509967,rnd-17-7,Deflection,HuntGroup,False,Yes-PostRedirection,Refusal,CallRejected,,,2026-08-31
2026-08-13 13:57:08,2065,Jamie Ortiz,Chicago,SIP_ENTERPRISE,TERMINATING,+13125551007,+13125551004,Jamie Ortiz,Casey Rivera,rnd-18-7,CallForwardBusy,HuntGroup,True,Yes,Success,Success,,always,2026-08-13
2026-08-28 22:25:56,1181,Riley Park,Chicago,SIP_INTERNATIONAL,TERMINATING,+13125551006,+155509952,Riley Park,+155509952,rnd-19-7,CallForwardNoAnswer,AutomatedAttendantVideo,True,Yes-PostRedirection,Success,Success,,always,2026-08-28
2026-08-06 09:16:37,896,Casey Rivera,Chicago,SIP_ENTERPRISE,ORIGINATING,+13125551007,+13125551008,Jamie Ortiz,Priya Nair,rnd-20-7,CallForwardBusy,User,True,Yes,Success,Success,,always-pause-resume,2026-08-06
2026-08-06 13:01:23,1105,Priya Nair,London,SIP_ENTERPRISE,TERMINATING,+13125551001,+13125551002,Jordan Lee,Sam Chen,rnd-21-7,HuntGroup,User,True,Yes-PostRedirection,Success,Success,,,2026-08-06
2026-08-21 18:30:20,2044,Morgan Quinn,Dallas,SIP_MOBILE,TERMINATING,+13125551005,+155509997,Morgan Quinn,+155509997,rnd-22-7,SimultaneousRingPersonal,User,True,Yes-PostRedirection,Success,Success,success,always,2026-08-21
2026-08-18 21:38:19,12,Jordan Lee,Denver,SIP_ENTERPRISE,TERMINATING,+13125551003,+13125551000,Taylor Brooks,Alex Morgan,rnd-23-7,HuntGroup,User,True,No,Success,Success,,always-pause-resume,2026-08-18
2026-09-05 23:06:05,1132,Morgan Quinn,London,SIP_INBOUND,TERMINATING,+155509941,+13125551005,+155509941,Morgan Quinn,rnd-24-7,SimultaneousRingPersonal,AutomatedAttendantVideo,True,No,Success,Success,success,always,2026-09-05
2026-08-29 23:14:55,1643,Riley Park,Chicago,SIP_NATIONAL,TERMINATING,+13125551006,+155509962,Riley Park,+155509962,rnd-25-7,ConsultativeTransfer,HuntGroup,True,No,Success,Success,,always-pause-resume,2026-08-29
2026-08-07 12:26:19,1939,Sam Chen,Dallas,SIP_MOBILE,ORIGINATING,+13125551002,+155509993,Sam Chen,+155509993,rnd-26-7,CallForwardNoAnswer,CallCenterPremium,True,Yes-PostRedirection,Success,Success,,,2026-08-07
2026-08-18 05:24:34,856,Sam Chen,Chicago,SIP_ENTERPRISE,TERMINATING,+13125551007,+13125551005,Jamie Ortiz,Morgan Quinn,rnd-27-7,ConsultativeTransfer,AutomatedAttendantVideo,True,Yes,Success,Success,,always,2026-08-18
