Account name,Account type,Email,Location,Country,Connected endpoint,Primary connectivity,Event type
endpoint-1,Place,user1@demo.example,Chicago,GB,No,Disconnected,Unregistered
endpoint-2,User,user2@demo.example,Dallas,SG,No,Disconnected,Unregistered
endpoint-3,User,user3@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-4,User,user4@demo.example,Chicago,US,Yes,PN,Registration
endpoint-5,Virtual Line,user5@demo.example,London,SG,Yes,SIP,Registration
endpoint-6,Virtual Line,user6@demo.example,Chicago,US,Yes,SIP,Registration
endpoint-7,User,user7@demo.example,Denver,SG,Yes,PN,Registration
endpoint-8,User,user8@demo.example,London,SG,Yes,SIP,Registration
endpoint-9,User,user9@demo.example,Dallas,SG,Yes,SIP,Registration
endpoint-10,User,user10@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-11,Virtual Line,user11@demo.example,London,US,Yes,PN,Registration
endpoint-12,User,user12@demo.example,London,US,Yes,SIP,Registration
endpoint-13,Virtual Line,user13@demo.example,Singapore,GB,Yes,PN,Registration
endpoint-14,Virtual Line,user14@demo.example,London,US,Yes,PN,Registration
endpoint-15,User,user15@demo.example,London,US,Yes,PN,Registration
endpoint-16,User,user16@demo.example,London,US,Yes,SIP,Registration
endpoint-17,Virtual Line,user17@demo.example,Chicago,US,Yes,PN,Registration
endpoint-18,User,user18@demo.example,Dallas,GB,Yes,PN,Registration
endpoint-19,Virtual Line,user19@demo.example,Singapore,US,Yes,SIP,Registration
endpoint-20,User,user20@demo.example,Singapore,US,Yes,SIP,Registration
endpoint-21,Virtual Line,user21@demo.example,Chicago,US,Yes,SIP,Registration
endpoint-22,User,user22@demo.example,London,SG,Yes,SIP,Registration
endpoint-23,Virtual Line,user23@demo.example,Chicago,GB,Yes,PN,Registration
endpoint-24,Virtual Line,user24@demo.example,London,GB,Yes,PN,Registration
endpoint-25,User,user25@demo.example,London,GB,Yes,SIP,Registration
endpoint-26,User,user26@demo.example,Denver,GB,Yes,PN,Registration
endpoint-27,Virtual Line,user27@demo.example,Singapore,SG,Yes,SIP,Registration
endpoint-28,User,user28@demo.example,Chicago,US,Yes,SIP,Registration
endpoint-29,User,user29@demo.example,Dallas,GB,Yes,SIP,Registration
endpoint-30,User,user30@demo.example,Chicago,SG,Yes,SIP,Registration
endpoint-31,User,user31@demo.example,London,SG,Yes,PN,Registration
endpoint-32,User,user32@demo.example,London,US,Yes,PN,Registration
endpoint-33,Place,user33@demo.example,Singapore,US,Yes,PN,Registration
endpoint-34,Place,user34@demo.example,London,SG,Yes,SIP,Registration
endpoint-35,User,user35@demo.example,Dallas,US,Yes,PN,Registration
endpoint-36,User,user36@demo.example,London,US,Yes,PN,Registration
endpoint-37,Virtual Line,user37@demo.example,Denver,SG,Yes,PN,Registration
endpoint-38,User,user38@demo.example,London,GB,Yes,SIP,Registration
endpoint-39,Virtual Line,user39@demo.example,Chicago,GB,Yes,SIP,Registration
endpoint-40,User,user40@demo.example,Denver,SG,Yes,PN,Registration
endpoint-41,User,user41@demo.example,Dallas,SG,Yes,SIP,Registration
endpoint-42,Place,user42@demo.example,London,SG,Yes,PN,Registration
endpoint-43,User,user43@demo.example,London,SG,Yes,SIP,Registration
endpoint-44,Place,user44@demo.example,Dallas,SG,Yes,SIP,Registration
