User Name,Start Time,Location,Call Quality,Duration(s),Audio Packet Loss (%),Audio Latency (ms),Call Type
Casey Rivera,2026-08-08 19:11:07,Denver,Poor,548,4.11,183,SIP_NATIONAL
Sam Chen,2026-08-08 04:07:04,Chicago,Good,1024,0.57,39,SIP_ENTERPRISE
Jordan Lee,2026-08-07 06:06:25,Dallas,Good,1713,0.23,60,SIP_INBOUND
Casey Rivera,2026-09-03 11:07:09,Singapore,Good,957,0.37,32,SIP_ENTERPRISE
Priya Nair,2026-08-14 09:39:14,London,Good,19,0.73,81,SIP_ENTERPRISE
Jamie Ortiz,2026-08-08 17:27:15,London,Fair,2209,0.02,78,SIP_ENTERPRISE
Casey Rivera,2026-08-20 12:57:27,Denver,Fair,764,0.41,33,SIP_INBOUND
Jamie Ortiz,2026-08-28 03:38:10,Chicago,Fair,798,0.73,50,SIP_ENTERPRISE
Priya Nair,2026-08-23 01:07:36,London,Fair,449,0.32,76,SIP_MOBILE
Priya Nair,2026-08-08 09:02:38,Singapore,Fair,2077,0.0,20,SIP_ENTERPRISE
Sam Chen,2026-09-01 20:08:18,Singapore,Good,323,0.32,65,SIP_INBOUND
Jordan Lee,2026-08-11 00:57:13,Singapore,Good,516,0.0,64,SIP_ENTERPRISE
Alex Morgan,2026-08-13 19:23:48,Singapore,Fair,404,0.32,38,SIP_ENTERPRISE
Jamie Ortiz,2026-08-09 13:31:29,London,Fair,1813,0.46,85,SIP_ENTERPRISE
Jordan Lee,2026-08-07 08:52:27,Singapore,Good,678,0.77,71,SIP_ENTERPRISE
Priya Nair,2026-08-16 19:51:22,Singapore,Good,719,0.69,53,SIP_ENTERPRISE
Riley Park,2026-08-27 17:43:13,Chicago,Good,231,0.35,48,SIP_ENTERPRISE
Casey Rivera,2026-08-24 13:45:53,Chicago,Good,1730,0.11,37,SIP_MOBILE
Jamie Ortiz,2026-08-20 07:21:15,Chicago,Good,1467,0.33,46,SIP_ENTERPRISE
Morgan Quinn,2026-08-17 02:47:39,London,Good,2286,0.66,42,SIP_ENTERPRISE
Casey Rivera,2026-08-13 09:53:02,Singapore,Good,1549,0.39,83,SIP_ENTERPRISE
Jamie Ortiz,2026-08-29 08:19:24,Singapore,Good,677,0.4,21,SIP_ENTERPRISE
Casey Rivera,2026-08-25 01:00:59,London,Poor,1022,2.64,339,SIP_ENTERPRISE
Jamie Ortiz,2026-08-28 02:37:54,Chicago,Good,1736,0.36,67,SIP_ENTERPRISE
Taylor Brooks,2026-09-04 01:26:51,Singapore,Good,332,0.49,31,SIP_ENTERPRISE
Sam Chen,2026-09-04 07:40:26,Singapore,Good,1613,0.72,25,SIP_MOBILE
Taylor Brooks,2026-09-04 04:02:41,Singapore,Good,2081,0.68,75,SIP_ENTERPRISE
Jamie Ortiz,2026-08-26 21:40:24,London,Good,1239,0.35,24,SIP_ENTERPRISE
Morgan Quinn,2026-08-26 04:33:13,Singapore,Good,788,0.11,57,SIP_INTERNATIONAL
Morgan Quinn,2026-08-25 05:14:28,Denver,Good,584,0.36,20,SIP_ENTERPRISE
Morgan Quinn,2026-08-26 03:51:57,London,Fair,2249,0.26,65,SIP_ENTERPRISE
Taylor Brooks,2026-08-11 06:18:30,Dallas,Poor,1343,1.6,297,SIP_MOBILE
Priya Nair,2026-08-14 10:00:24,Denver,Good,1366,0.12,75,SIP_ENTERPRISE
Riley Park,2026-09-02 03:56:22,Chicago,Good,1923,0.16,47,SIP_MOBILE
Marcus Webb,2026-08-19 23:02:41,Singapore,Good,2258,0.2,82,SIP_NATIONAL
Jordan Lee,2026-09-05 21:06:59,Dallas,Good,544,0.55,57,SIP_NATIONAL
