Start time,Duration,User,Location,Call type,Related reason,Call outcome reason,Call Recording Result,Call Recording Trigger,Answered,Direction,_day
2026-08-29 21:29:28,438,Taylor Brooks,Denver,SIP_ENTERPRISE,,Success,,,True,ORIGINATING,2026-08-29
2026-08-13 17:47:31,1729,Jordan Lee,London,SIP_ENTERPRISE,,Success,,always-pause-resume,True,TERMINATING,2026-08-13
2026-08-22 12:44:01,1196,Casey Rivera,London,SIP_MOBILE,ConsultativeTransfer,Success,,always-pause-resume,True,ORIGINATING,2026-08-22
2026-08-27 00:41:33,801,Marcus Webb,London,SIP_MOBILE,,Success,,always-pause-resume,True,ORIGINATING,2026-08-27
2026-08-15 03:46:42,1711,Sam Chen,Denver,SIP_MOBILE,ConsultativeTransfer,Success,,,True,TERMINATING,2026-08-15
2026-08-06 02:41:31,2143,Taylor Brooks,Chicago,SIP_ENTERPRISE,CallQueue,Success,,,True,TERMINATING,2026-08-06
2026-09-03 22:13:12,2300,Riley Park,London,SIP_ENTERPRISE,CallForwardNoAnswer,Success,,always-pause-resume,True,ORIGINATING,2026-09-03
2026-08-28 21:59:25,2382,Casey Rivera,Chicago,SIP_SHORTCODE,CallForwardNoAnswer,CallRejected,,,False,ORIGINATING,2026-08-28
2026-08-24 05:28:49,1637,Jordan Lee,London,SIP_ENTERPRISE,CallQueue,Success,,always-pause-resume,True,ORIGINATING,2026-08-24
2026-08-27 18:10:10,1029,Sam Chen,Denver,SIP_ENTERPRISE,,Success,,always-pause-resume,True,ORIGINATING,2026-08-27
2026-08-31 15:02:20,2182,Jamie Ortiz,Dallas,SIP_INTERNATIONAL,ConsultativeTransfer,Success,success,always-pause-resume,True,ORIGINATING,2026-08-31
2026-08-16 09:47:55,1132,Marcus Webb,Singapore,SIP_NATIONAL,CallQueue,Success,,always,True,ORIGINATING,2026-08-16
2026-09-03 12:28:32,2099,Alex Morgan,Denver,SIP_ENTERPRISE,CallForwardBusy,Success,,always,True,ORIGINATING,2026-09-03
2026-08-30 00:37:22,1990,Taylor Brooks,Chicago,SIP_ENTERPRISE,CallForwardNoAnswer,Success,,always,True,ORIGINATING,2026-08-30
2026-08-11 09:11:17,470,Priya Nair,Chicago,SIP_ENTERPRISE,Deflection,Success,,always,True,ORIGINATING,2026-08-11
2026-08-26 01:04:46,664,Taylor Brooks,Singapore,SIP_ENTERPRISE,,Success,,always-pause-resume,True,ORIGINATING,2026-08-26
2026-08-15 12:45:15,2140,Sam Chen,London,SIP_NATIONAL,,Success,,always,True,ORIGINATING,2026-08-15
2026-08-23 13:39:38,666,Marcus Webb,Chicago,SIP_NATIONAL,ConsultativeTransfer,Success,,always-pause-resume,True,TERMINATING,2026-08-23
2026-08-24 06:26:11,655,Alex Morgan,Denver,SIP_INBOUND,ConsultativeTransfer,Success,failed,,True,TERMINATING,2026-08-24
2026-08-14 23:50:10,1453,Jordan Lee,Chicago,SIP_ENTERPRISE,,Success,,always-pause-resume,True,ORIGINATING,2026-08-14
2026-08-17 16:13:54,622,Taylor Brooks,Singapore,SIP_ENTERPRISE,ConsultativeTransfer,Success,,,True,TERMINATING,2026-08-17
2026-08-18 23:48:37,2151,Taylor Brooks,Dallas,SIP_INBOUND,ConsultativeTransfer,Success,,always,True,ORIGINATING,2026-08-18
