Account name,Account type,Email,Location,Country,Connected endpoint,Primary connectivity,Event type
endpoint-1,Place,user1@demo.example,Chicago,US,No,Disconnected,Unregistered
endpoint-2,User,user2@demo.example,Singapore,US,No,Disconnected,Unregistered
endpoint-3,Place,user3@demo.example,London,SG,No,Disconnected,Unregistered
endpoint-4,User,user4@demo.example,London,US,No,Disconnected,Unregistered
endpoint-5,Virtual Line,user5@demo.example,London,US,No,Disconnected,Unregistered
endpoint-6,User,user6@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-7,User,user7@demo.example,London,US,Yes,SIP,Registration
endpoint-8,User,user8@demo.example,London,US,Yes,SIP,Registration
endpoint-9,User,user9@demo.example,Singapore,GB,Yes,PN,Registration
endpoint-10,Place,user10@demo.example,Singapore,GB,Yes,SIP,Registration
endpoint-11,User,user11@demo.example,Denver,SG,Yes,PN,Registration
endpoint-12,User,user12@demo.example,Dallas,GB,Yes,PN,Registration
endpoint-13,User,user13@demo.example,London,GB,Yes,SIP,Registration
endpoint-14,Virtual Line,user14@demo.example,Dallas,US,Yes,PN,Registration
endpoint-15,Virtual Line,user15@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-16,User,user16@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-17,User,user17@demo.example,Singapore,US,Yes,PN,Registration
endpoint-18,Virtual Line,user18@demo.example,Chicago,US,Yes,SIP,Registration
endpoint-19,Virtual Line,user19@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-20,User,user20@demo.example,Denver,GB,Yes,PN,Registration
endpoint-21,User,user21@demo.example,Chicago,US,Yes,PN,Registration
endpoint-22,Place,user22@demo.example,Chicago,SG,Yes,PN,Registration
endpoint-23,Place,user23@demo.example,Singapore,GB,Yes,SIP,Registration
endpoint-24,Virtual Line,user24@demo.example,London,SG,Yes,SIP,Registration
endpoint-25,User,user25@demo.example,London,US,Yes,PN,Registration
endpoint-26,Place,user26@demo.example,London,GB,Yes,PN,Registration
endpoint-27,User,user27@demo.example,Denver,US,Yes,SIP,Registration
endpoint-28,Virtual Line,user28@demo.example,London,US,Yes,SIP,Registration
endpoint-29,Place,user29@demo.example,Denver,GB,Yes,PN,Registration
endpoint-30,Place,user30@demo.example,Denver,GB,Yes,PN,Registration
endpoint-31,Virtual Line,user31@demo.example,Denver,SG,Yes,PN,Registration
endpoint-32,User,user32@demo.example,Denver,SG,Yes,SIP,Registration
endpoint-33,User,user33@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-34,User,user34@demo.example,Denver,GB,Yes,SIP,Registration
