User Name,Start Time,Location,Call Quality,Duration(s),Audio Packet Loss (%),Audio Latency (ms),Call Type
Priya Nair,2026-08-25 12:50:57,Dallas,Poor,2396,4.14,297,SIP_INBOUND
Jamie Ortiz,2026-08-08 08:16:49,Dallas,Fair,1712,0.72,82,SIP_ENTERPRISE
Taylor Brooks,2026-09-05 01:05:30,London,Good,911,0.05,66,SIP_ENTERPRISE
Priya Nair,2026-08-27 04:11:17,Dallas,Good,137,0.63,58,SIP_ENTERPRISE
Alex Morgan,2026-08-16 20:06:14,Denver,Poor,1589,2.79,248,SIP_ENTERPRISE
Riley Park,2026-08-09 23:24:11,Dallas,Fair,1740,0.38,81,SIP_ENTERPRISE
Priya Nair,2026-08-26 14:46:58,Chicago,Good,1665,0.32,33,SIP_INBOUND
Jamie Ortiz,2026-08-20 13:59:21,London,Good,1358,0.35,23,SIP_ENTERPRISE
Alex Morgan,2026-08-08 21:54:13,Dallas,Fair,544,0.06,41,SIP_ENTERPRISE
Alex Morgan,2026-08-09 14:01:08,London,Fair,348,0.34,77,SIP_NATIONAL
Jordan Lee,2026-08-30 01:42:55,Chicago,Good,1608,0.68,72,SIP_ENTERPRISE
Sam Chen,2026-09-05 09:52:32,Singapore,Good,542,0.55,41,SIP_ENTERPRISE
Alex Morgan,2026-08-27 11:15:11,Singapore,Fair,954,0.07,43,SIP_INBOUND
Jordan Lee,2026-08-12 00:00:20,London,Fair,726,0.69,63,SIP_ENTERPRISE
Sam Chen,2026-08-16 12:26:02,Dallas,Fair,1765,0.75,82,SIP_NATIONAL
Jordan Lee,2026-08-21 23:36:48,Chicago,Good,2076,0.42,70,SIP_INBOUND
Alex Morgan,2026-08-07 07:24:46,Denver,Good,1838,0.68,81,SIP_NATIONAL
Morgan Quinn,2026-09-03 18:11:12,Dallas,Good,59,0.78,27,SIP_MOBILE
Taylor Brooks,2026-08-29 12:25:41,Singapore,Poor,1982,4.19,266,SIP_MOBILE
Taylor Brooks,2026-08-27 06:53:26,Singapore,Fair,1245,0.58,48,SIP_ENTERPRISE
Riley Park,2026-08-28 02:46:49,London,Fair,825,0.19,32,SIP_ENTERPRISE
Jordan Lee,2026-08-10 02:32:14,Denver,Fair,1811,0.64,79,SIP_INBOUND
Casey Rivera,2026-08-15 11:26:12,Singapore,Good,2362,0.41,33,SIP_INBOUND
Marcus Webb,2026-08-27 00:41:33,London,Good,801,0.35,24,SIP_MOBILE
