Start time,Duration,User,Location,Call type,Related reason,Call outcome reason,Call Recording Result,Call Recording Trigger,Answered,Direction,_day
2026-08-23 03:36:00,1398,Jordan Lee,Singapore,SIP_INTERNATIONAL,,UnassignedNumber,,,False,TERMINATING,2026-08-23
2026-09-05 03:05:05,1227,Priya Nair,Chicago,SIP_NATIONAL,ConsultativeTransfer,Success,,always,True,ORIGINATING,2026-09-05
2026-09-04 13:24:13,1332,Alex Morgan,Singapore,SIP_MOBILE,ConsultativeTransfer,Success,,always,True,ORIGINATING,2026-09-04
2026-08-13 11:12:30,1995,Jordan Lee,Chicago,SIP_INBOUND,CallQueue,Success,,always,True,ORIGINATING,2026-08-13
2026-08-20 17:36:36,1738,Casey Rivera,Singapore,SIP_ENTERPRISE,,Success,,always,True,ORIGINATING,2026-08-20
2026-08-15 15:55:00,2124,Morgan Quinn,London,SIP_SHORTCODE,Deflection,Success,success,,True,ORIGINATING,2026-08-15
2026-08-13 03:12:19,942,Jordan Lee,Chicago,SIP_ENTERPRISE,CallForwardNoAnswer,TemporarilyUnavailable,,always,False,TERMINATING,2026-08-13
2026-08-26 17:43:10,2365,Sam Chen,Singapore,SIP_ENTERPRISE,CallQueue,Success,,always,True,ORIGINATING,2026-08-26
2026-08-26 10:16:59,226,Riley Park,London,SIP_ENTERPRISE,CallForwardBusy,Success,success,,True,TERMINATING,2026-08-26
2026-08-30 19:38:26,2201,Taylor Brooks,Dallas,SIP_ENTERPRISE,CallQueue,Success,,always,True,TERMINATING,2026-08-30
2026-08-31 01:10:06,2219,Jordan Lee,Chicago,SIP_MOBILE,CallQueue,Success,,always,True,TERMINATING,2026-08-31
2026-08-21 01:19:01,679,Riley Park,Chicago,SIP_ENTERPRISE,CallForwardBusy,Success,,always-pause-resume,True,TERMINATING,2026-08-21
2026-08-27 14:15:50,639,Priya Nair,London,SIP_NATIONAL,,Success,success,,True,ORIGINATING,2026-08-27
2026-08-29 04:29:37,2064,Marcus Webb,London,SIP_ENTERPRISE,CallForwardNoAnswer,Success,success,always,True,ORIGINATING,2026-08-29
2026-08-08 02:58:47,496,Taylor Brooks,London,SIP_ENTERPRISE,Deflection,Success,,,True,ORIGINATING,2026-08-08
2026-08-18 23:54:12,1073,Priya Nair,Denver,SIP_INBOUND,CallForwardBusy,Success,,always,True,ORIGINATING,2026-08-18
2026-08-26 00:15:09,1882,Jordan Lee,Chicago,SIP_ENTERPRISE,CallForwardNoAnswer,Success,success,always,True,ORIGINATING,2026-08-26
2026-08-14 05:18:32,1799,Taylor Brooks,Denver,SIP_INTERNATIONAL,,Success,,,True,ORIGINATING,2026-08-14
2026-08-26 16:53:24,1088,Jordan Lee,Dallas,SIP_INBOUND,ConsultativeTransfer,UnassignedNumber,,always-pause-resume,False,ORIGINATING,2026-08-26
2026-08-12 12:42:30,2006,Casey Rivera,Singapore,SIP_ENTERPRISE,,Success,success,always-pause-resume,True,TERMINATING,2026-08-12
2026-08-07 08:48:01,666,Sam Chen,Denver,SIP_ENTERPRISE,Deflection,Success,,always,True,ORIGINATING,2026-08-07
2026-09-04 07:07:04,152,Sam Chen,Singapore,SIP_INBOUND,CallQueue,Success,,always,True,TERMINATING,2026-09-04
2026-08-17 07:18:02,1027,Alex Morgan,Denver,SIP_INTERNATIONAL,CallForwardBusy,Success,,,True,ORIGINATING,2026-08-17
2026-08-10 18:59:15,1693,Sam Chen,Dallas,SIP_MOBILE,CallForwardBusy,CallRejected,,,False,ORIGINATING,2026-08-10
2026-08-31 03:11:50,163,Jordan Lee,London,SIP_ENTERPRISE,CallForwardBusy,Success,,always-pause-resume,True,TERMINATING,2026-08-31
2026-08-31 10:28:44,796,Taylor Brooks,Chicago,SIP_MOBILE,ConsultativeTransfer,Success,success,always-pause-resume,True,ORIGINATING,2026-08-31
2026-08-21 18:59:52,118,Priya Nair,Denver,SIP_INBOUND,ConsultativeTransfer,UnassignedNumber,,always,False,ORIGINATING,2026-08-21
2026-08-24 11:50:56,2099,Morgan Quinn,London,SIP_ENTERPRISE,Deflection,UnassignedNumber,,,False,TERMINATING,2026-08-24
2026-08-06 01:15:29,1496,Priya Nair,Dallas,SIP_MOBILE,CallForwardNoAnswer,Success,,always-pause-resume,True,ORIGINATING,2026-08-06
2026-09-01 06:55:24,1271,Casey Rivera,Singapore,SIP_INBOUND,CallForwardNoAnswer,Success,,always,True,ORIGINATING,2026-09-01
2026-08-19 00:48:43,1668,Sam Chen,Singapore,SIP_INTERNATIONAL,CallForwardBusy,Success,,,True,ORIGINATING,2026-08-19
2026-08-26 07:06:03,2098,Jamie Ortiz,Dallas,SIP_ENTERPRISE,CallQueue,Success,,,True,ORIGINATING,2026-08-26
2026-08-14 19:08:13,387,Marcus Webb,Denver,SIP_INBOUND,CallQueue,Success,,always,True,ORIGINATING,2026-08-14
2026-08-06 18:10:20,303,Jamie Ortiz,Singapore,SIP_ENTERPRISE,,Success,,,True,TERMINATING,2026-08-06
2026-08-21 07:48:59,1746,Alex Morgan,Chicago,SIP_ENTERPRISE,CallForwardBusy,Success,,always,True,ORIGINATING,2026-08-21
2026-08-13 17:24:12,1908,Jamie Ortiz,Dallas,SIP_NATIONAL,CallForwardBusy,Success,,,True,ORIGINATING,2026-08-13
2026-09-02 15:39:47,656,Priya Nair,London,SIP_ENTERPRISE,CallQueue,Success,,,True,TERMINATING,2026-09-02
2026-08-29 17:45:55,1806,Taylor Brooks,Denver,SIP_ENTERPRISE,ConsultativeTransfer,TemporarilyUnavailable,,,False,ORIGINATING,2026-08-29
2026-08-10 06:57:01,268,Sam Chen,Dallas,SIP_ENTERPRISE,Deflection,Success,,always,True,TERMINATING,2026-08-10
2026-08-18 01:46:14,1563,Alex Morgan,Singapore,SIP_NATIONAL,CallForwardBusy,Success,,always-pause-resume,True,ORIGINATING,2026-08-18
