Account name,Account type,Email,Location,Country,Connected endpoint,Primary connectivity,Event type
endpoint-1,User,user1@demo.example,Chicago,US,Yes,PN,Registration
endpoint-2,User,user2@demo.example,Denver,GB,Yes,PN,Registration
endpoint-3,User,user3@demo.example,London,US,Yes,SIP,Registration
endpoint-4,Place,user4@demo.example,Chicago,GB,Yes,PN,Registration
endpoint-5,User,user5@demo.example,Chicago,US,Yes,SIP,Registration
endpoint-6,User,user6@demo.example,Dallas,US,Yes,PN,Registration
endpoint-7,User,user7@demo.example,Chicago,SG,Yes,PN,Registration
endpoint-8,User,user8@demo.example,Singapore,SG,Yes,SIP,Registration
endpoint-9,Virtual Line,user9@demo.example,Singapore,GB,Yes,SIP,Registration
endpoint-10,Place,user10@demo.example,Chicago,GB,Yes,SIP,Registration
endpoint-11,Virtual Line,user11@demo.example,Dallas,GB,Yes,SIP,Registration
endpoint-12,User,user12@demo.example,Chicago,US,Yes,SIP,Registration
endpoint-13,Place,user13@demo.example,Dallas,US,Yes,PN,Registration
endpoint-14,Place,user14@demo.example,Chicago,GB,Yes,PN,Registration
endpoint-15,Virtual Line,user15@demo.example,Chicago,SG,Yes,SIP,Registration
endpoint-16,User,user16@demo.example,Dallas,SG,Yes,SIP,Registration
endpoint-17,User,user17@demo.example,London,SG,Yes,PN,Registration
endpoint-18,Place,user18@demo.example,Denver,US,Yes,SIP,Registration
endpoint-19,User,user19@demo.example,London,US,Yes,SIP,Registration
endpoint-20,Place,user20@demo.example,Chicago,GB,Yes,PN,Registration
endpoint-21,Virtual Line,user21@demo.example,Chicago,GB,Yes,PN,Registration
endpoint-22,User,user22@demo.example,Dallas,US,Yes,SIP,Registration
endpoint-23,User,user23@demo.example,London,SG,Yes,PN,Registration
endpoint-24,User,user24@demo.example,Singapore,US,Yes,PN,Registration
endpoint-25,User,user25@demo.example,Denver,SG,Yes,PN,Registration
endpoint-26,User,user26@demo.example,Chicago,US,Yes,PN,Registration
endpoint-27,User,user27@demo.example,Denver,SG,Yes,SIP,Registration
endpoint-28,Place,user28@demo.example,Denver,SG,Yes,SIP,Registration
endpoint-29,Place,user29@demo.example,Chicago,SG,Yes,PN,Registration
