User Name,Start Time,Location,Call Quality,Duration(s),Audio Packet Loss (%),Audio Latency (ms),Call Type
Casey Rivera,2026-09-02 19:23:28,Denver,Fair,1153,0.27,76,SIP_ENTERPRISE
Priya Nair,2026-08-30 08:58:34,Singapore,Good,1657,0.31,58,SIP_ENTERPRISE
Marcus Webb,2026-08-24 13:06:17,London,Good,1346,0.43,77,SIP_INBOUND
Marcus Webb,2026-08-22 07:40:39,Dallas,Fair,539,0.57,56,SIP_ENTERPRISE
Jamie Ortiz,2026-08-08 10:26:16,Singapore,Fair,544,0.18,26,SIP_MOBILE
Riley Park,2026-08-15 15:11:53,Chicago,Good,925,0.8,21,SIP_ENTERPRISE
Sam Chen,2026-09-03 04:42:52,Singapore,Good,652,0.74,24,SIP_ENTERPRISE
Alex Morgan,2026-08-28 04:27:33,Singapore,Good,147,0.24,30,SIP_NATIONAL
Jordan Lee,2026-08-20 08:14:43,Denver,Good,1874,0.19,77,SIP_ENTERPRISE
Sam Chen,2026-08-19 00:48:43,Singapore,Good,1668,0.09,68,SIP_INTERNATIONAL
Riley Park,2026-08-12 18:07:06,Denver,Fair,266,0.02,87,SIP_ENTERPRISE
Jordan Lee,2026-09-04 12:07:35,Dallas,Fair,2161,0.08,60,SIP_NATIONAL
Riley Park,2026-08-16 02:38:32,Dallas,Fair,1543,0.7,22,SIP_ENTERPRISE
Sam Chen,2026-08-22 14:16:32,Dallas,Good,665,0.2,20,SIP_ENTERPRISE
Marcus Webb,2026-08-16 09:19:05,London,Good,1571,0.12,32,SIP_INBOUND
Priya Nair,2026-08-18 21:08:03,Denver,Fair,2179,0.42,86,SIP_ENTERPRISE
Alex Morgan,2026-08-29 13:03:46,Singapore,Fair,656,0.27,74,SIP_MOBILE
Priya Nair,2026-09-04 21:32:19,Denver,Good,440,0.09,24,SIP_ENTERPRISE
Alex Morgan,2026-08-18 01:46:14,Singapore,Fair,1563,0.6,55,SIP_NATIONAL
Marcus Webb,2026-08-31 17:17:23,London,Poor,351,3.76,296,SIP_NATIONAL
Riley Park,2026-08-09 21:52:56,Dallas,Fair,610,0.57,38,SIP_ENTERPRISE
Priya Nair,2026-08-12 04:23:47,Dallas,Good,2231,0.57,49,SIP_MOBILE
Jordan Lee,2026-08-20 23:10:54,Chicago,Good,585,0.42,88,SIP_ENTERPRISE
Sam Chen,2026-09-05 14:43:13,Chicago,Good,110,0.32,23,SIP_ENTERPRISE
Alex Morgan,2026-08-30 15:11:16,London,Fair,601,0.78,62,SIP_ENTERPRISE
Sam Chen,2026-08-17 04:19:07,Singapore,Fair,1732,0.37,41,SIP_INBOUND
